iShares U.S. Real Estate ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$4,512,359,089"
Shares Outstanding,"60,550,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"NNN","NATIONAL RETAIL PROPERTIES INC.","US6374171063","2211811","0.5933","Financials","Equity","$26,745,133","728,155","36.73","New York Stock Exchange Inc.","26,745,133.15"
"DDR","DDR CORP","US23317H1023","B6S2DF5","0.5812","Financials","Equity","$26,200,345","1,628,362","16.09","New York Stock Exchange Inc.","26,200,344.58"
"HHC","HOWARD HUGHES CORP.","US44267D1072","B5VR4H9","0.5802","Financials","Equity","$26,150,855","196,313","133.21","New York Stock Exchange Inc.","26,150,854.73"
"ELS","EQUITY LIFESTYLE PROPERTIES INC.","US29472R1086","2563125","0.5582","Financials","Equity","$25,162,273","434,882","57.86","New York Stock Exchange Inc.","25,162,272.52"
"FCE.A","FOREST CITY ENTERPRISES INC. CL A","US3455501078","2346456","0.5463","Financials","Equity","$24,625,623","1,060,535","23.22","New York Stock Exchange Inc.","24,625,622.70"
"SRC","SPIRIT REALTY CAPITAL REIT INC","US84860W1027","BBVHWR7","0.5300","Financials","Equity","$23,890,474","2,398,642","9.96","New York Stock Exchange Inc.","23,890,474.32"
"NRF","NORTHSTAR REALTY FINANCE REIT CORP","US66704R7044","BNLYWH2","0.5283","Financials","Equity","$23,815,104","1,488,444","16.00","New York Stock Exchange Inc.","23,815,104.00"
"HME","HOME PROPERTIES INC.","US4373061039","2414074","0.5187","Financials","Equity","$23,380,018","314,840","74.26","New York Stock Exchange Inc.","23,380,018.40"
"CUBE","CUBESMART","US2296631094","B6SW913","0.5155","Financials","Equity","$23,238,551","902,468","25.75","New York Stock Exchange Inc.","23,238,551.00"
"BMR","BIOMED REALTY TRUST REIT INC","US09063H1077","B02GMQ5","0.5138","Financials","Equity","$23,160,829","1,103,948","20.98","New York Stock Exchange Inc.","23,160,829.04"
"ACC","AMERICAN CAMPUS COMMUNITIES INC.","US0248351001","B02H871","0.4959","Financials","Equity","$22,353,604","610,254","36.63","New York Stock Exchange Inc.","22,353,604.02"
"DEI","DOUGLAS EMMETT INC.","US25960P1093","B1G3M58","0.4879","Financials","Equity","$21,992,674","744,757","29.53","New York Stock Exchange Inc.","21,992,674.21"
"CXW","CORRECTIONS CORPORATION OF AMERICA","US22025Y4070","2759418","0.4830","Financials","Equity","$21,774,121","634,629","34.31","New York Stock Exchange Inc.","21,774,120.99"
"SNH","SENIOR HOUSING PROPERTIES TRUST RE","US81721M1099","2501631","0.4820","Financials","Equity","$21,726,456","1,276,525","17.02","New York Stock Exchange Inc.","21,726,455.50"
"WRI","WEINGARTEN REALTY INVESTORS REIT","US9487411038","2946618","0.4780","Financials","Equity","$21,545,439","618,411","34.84","New York Stock Exchange Inc.","21,545,439.24"
"HIW","HIGHWOODS PROPERTIES INC.","US4312841087","2420640","0.4732","Financials","Equity","$21,328,828","510,137","41.81","New York Stock Exchange Inc.","21,328,827.97"
"TCO","TAUBMAN CENTERS REIT INC","US8766641034","2872252","0.4700","Financials","Equity","$21,184,082","287,125","73.78","New York Stock Exchange Inc.","21,184,082.50"
"HPT","HOSPITALITY PROPERTIES TRUST REIT","US44106M1027","2438966","0.4644","Financials","Equity","$20,932,634","781,360","26.79","New York Stock Exchange Inc.","20,932,634.40"
"RLJ","RLJ LODGING TRUST REIT","US74965L1017","B3PY1N7","0.4607","Financials","Equity","$20,766,797","716,838","28.97","New York Stock Exchange Inc.","20,766,796.86"
"LHO","LASALLE HOTEL PROPERTIES","US5179421087","2240161","0.4409","Financials","Equity","$19,874,792","613,988","32.37","New York Stock Exchange Inc.","19,874,791.56"
"BEE","STRATEGIC HOTELS & RESORTS INC.","US86272T1060","2438654","0.4386","Financials","Equity","$19,768,200","1,494,195","13.23","New York Stock Exchange Inc.","19,768,199.85"
"TWO","TWO HARBORS INVESTMENT REIT CORP","US90187B1017","B563MS9","0.4341","Financials","Equity","$19,567,293","1,988,546","9.84","New York Stock Exchange Inc.","19,567,292.64"
"EQC","EQUITY COMMONWEALTH REIT","US2946281027","BPH3N63","0.4248","Financials","Equity","$19,147,304","703,945","27.20","New York Stock Exchange Inc.","19,147,304.00"
