iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$69,783,236,901"
Shares Outstanding,"332,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"SPG","SIMON PROPERTY GROUP REIT INC","US8288061091","2812452","0.3160","Financials","Equity","$222,202,364","1,177,543","188.70","New York Stock Exchange Inc.","222,202,364.10"
"DHR","DANAHER CORP","US2358511028","2250870","0.3057","Industrials","Equity","$214,932,033","2,329,634","92.26","New York Stock Exchange Inc.","214,932,032.84"
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","US90130A1016","BBM4S68","0.3039","Consumer Discretionary","Equity","$213,665,106","6,693,769","31.92","NASDAQ","213,665,106.48"
"LMT","LOCKHEED MARTIN CORP","US5398301094","2522096","0.3015","Industrials","Equity","$211,972,061","1,012,138","209.43","New York Stock Exchange Inc.","211,972,061.34"
"KMI","KINDER MORGAN INC","US49456B1017","B3NQ4P8","0.3009","Energy","Equity","$211,551,368","6,561,767","32.24","New York Stock Exchange Inc.","211,551,368.08"
"TMO","THERMO FISHER SCIENTIFIC INC","US8835561023","2886907","0.2970","Health Care","Equity","$208,847,446","1,505,858","138.69","New York Stock Exchange Inc.","208,847,446.02"
"HPQ","HEWLETT PACKARD","US4282361033","2424006","0.2945","Information Technology","Equity","$207,062,110","6,833,733","30.30","New York Stock Exchange Inc.","207,062,109.90"
"TWC","TIME WARNER CABLE INC","US88732J2078","B63BPC8","0.2913","Consumer Discretionary","Equity","$204,793,356","1,069,417","191.50","New York Stock Exchange Inc.","204,793,355.50"
"TXN","TEXAS INSTRUMENTS INCORPORATED","US8825081040","2885409","0.2847","Information Technology","Equity","$200,151,041","3,935,720","50.85","NASDAQ","200,151,040.60"
"OXY","OCCIDENTAL PETROLEUM CORP","US6745991058","2655408","0.2838","Energy","Equity","$199,514,082","2,905,827","68.66","New York Stock Exchange Inc.","199,514,081.82"
"NFLX","NETFLIX INC","US64110L1061","2857817","0.2825","Consumer Discretionary","Equity","$198,599,952","1,605,367","123.71","NASDAQ","198,599,951.57"
"EMC","EMC CORP","US2686481027","2295172","0.2806","Information Technology","Equity","$197,263,782","7,346,882","26.85","New York Stock Exchange Inc.","197,263,781.70"
"MCK","MCKESSON CORP","US58155Q1031","2378534","0.2783","Health Care","Equity","$195,694,826","875,984","223.40","New York Stock Exchange Inc.","195,694,825.60"
"DUK","DUKE ENERGY CORP","US26441C2044","B7VD3F2","0.2753","Utilities","Equity","$193,539,522","2,616,106","73.98","New York Stock Exchange Inc.","193,539,521.88"
