iShares Japan Large-Cap ETF
Inception Date,"Oct 23, 2001"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$83,907,585"
Shares Outstanding,"1,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"9020","JP3783600004","6298542","EAST JAPAN RAILWAY","1.3656","Equity","Industrials","Japan","$1,143,328","12,500","91.47","Tokyo Stock Exchange","USD","JPY","119.94","1,143,327.64"
"8058","JP3898400001","6596785","MITSUBISHI CORP","1.3556","Equity","Industrials","Japan","$1,134,902","51,500","22.04","Tokyo Stock Exchange","USD","JPY","119.94","1,134,902.24"
"4503","JP3942400007","6985383","ASTELLAS PHARMA INC","1.2917","Equity","Health Care","Japan","$1,081,436","71,540","15.12","Tokyo Stock Exchange","USD","JPY","119.94","1,081,435.94"
"3382","JP3422950000","B0FS5D6","SEVEN & I HOLDINGS LTD","1.2812","Equity","Consumer Staples","Japan","$1,072,664","25,000","42.91","Tokyo Stock Exchange","USD","JPY","119.94","1,072,664.36"
"6501","JP3788600009","6429104","HITACHI LTD","1.2724","Equity","Information Technology","Japan","$1,065,298","155,000","6.87","Tokyo Stock Exchange","USD","JPY","119.94","1,065,297.87"
"6752","JP3866800000","6572707","PANASONIC CORP","1.2366","Equity","Consumer Discretionary","Japan","$1,035,336","73,000","14.18","Tokyo Stock Exchange","USD","JPY","119.94","1,035,335.81"
"8802","JP3899600005","6596729","MITSUBISHI ESTATE CO LTD","1.2331","Equity","Financials","Japan","$1,032,372","45,000","22.94","Tokyo Stock Exchange","USD","JPY","119.94","1,032,371.70"
"8766","JP3910660004","6513126","TOKIO MARINE HOLDINGS INC","1.2190","Equity","Financials","Japan","$1,020,569","24,500","41.66","Tokyo Stock Exchange","USD","JPY","119.94","1,020,569.48"
"6981","JP3914400001","6610403","MURATA MANUFACTURING CO LTD","1.1691","Equity","Information Technology","Japan","$978,780","6,500","150.58","Tokyo Stock Exchange","USD","JPY","119.94","978,780.17"
"6503","JP3902400005","6597045","MITSUBISHI ELECTRIC CORP","1.1116","Equity","Industrials","Japan","$930,629","70,000","13.29","Tokyo Stock Exchange","USD","JPY","119.94","930,629.09"
"5108","JP3830800003","6132101","BRIDGESTONE CORP","1.0516","Equity","Consumer Discretionary","Japan","$880,454","21,500","40.95","Tokyo Stock Exchange","USD","JPY","119.94","880,454.00"
"8801","JP3893200000","6597603","MITSUI FUDOSAN LTD","1.0503","Equity","Financials","Japan","$879,351","30,000","29.31","Tokyo Stock Exchange","USD","JPY","119.94","879,351.32"
"7201","JP3672400003","6642860","NISSAN MOTOR LTD","1.0194","Equity","Consumer Discretionary","Japan","$853,496","81,500","10.47","Tokyo Stock Exchange","USD","JPY","119.94","853,495.64"
"6902","JP3551500006","6640381","DENSO CORP","1.0156","Equity","Consumer Discretionary","Japan","$850,319","17,000","50.02","Tokyo Stock Exchange","USD","JPY","119.94","850,318.92"
"6861","JP3236200006","6490995","KEYENCE CORP","0.9729","Equity","Information Technology","Japan","$814,521","1,536","530.29","Tokyo Stock Exchange","USD","JPY","119.94","814,521.20"
"4063","JP3371200001","6804585","SHIN ETSU CHEMICAL LTD","0.9657","Equity","Materials","Japan","$808,496","13,000","62.19","Tokyo Stock Exchange","USD","JPY","119.94","808,496.27"
"8604","JP3762600009","6643108","NOMURA HOLDINGS INC","0.9652","Equity","Financials","Japan","$808,089","120,500","6.71","Tokyo Stock Exchange","USD","JPY","119.94","808,088.96"
"9983","JP3802300008","6332439","FAST RETAILING LTD","0.9650","Equity","Consumer Discretionary","Japan","$807,938","2,000","403.97","Tokyo Stock Exchange","USD","JPY","119.94","807,937.63"
"8031","JP3893600001","6597302","MITSUI LTD","0.9535","Equity","Industrials","Japan","$798,259","56,500","14.13","Tokyo Stock Exchange","USD","JPY","119.94","798,259.47"
"9437","JP3165650007","6129277","NTT DOCOMO INC","0.9531","Equity","Telecommunications","Japan","$797,932","44,000","18.13","Tokyo Stock Exchange","USD","JPY","119.94","797,932.21"
"5401","JP3381000003","6642569","NIPPON STEEL & SUMITOMO METAL CORP","0.9422","Equity","Materials","Japan","$788,796","300,045","2.63","Tokyo Stock Exchange","USD","JPY","119.94","788,795.50"
"4452","JP3205800000","6483809","KAO CORP","0.8957","Equity","Consumer Staples","Japan","$749,873","16,000","46.87","Tokyo Stock Exchange","USD","JPY","119.94","749,872.85"
"7270","JP3814800003","6356406","FUJI HEAVY INDUSTRIES LTD","0.8922","Equity","Consumer Discretionary","Japan","$746,955","21,000","35.57","Tokyo Stock Exchange","USD","JPY","119.94","746,954.60"
"JPY","-","-","JPY CASH","0.8769","Cash","Cash and/or Derivatives","Japan","$734,175","88,053","0.83","-","USD","JPY","119.94","734,174.87"
"8001","JP3143600009","6467803","ITOCHU CORP","0.8060","Equity","Industrials","Japan","$674,772","52,500","12.85","Tokyo Stock Exchange","USD","JPY","119.94","674,771.75"
"8591","JP3200450009","6661144","ORIX CORP","0.7901","Equity","Financials","Japan","$661,508","42,000","15.75","Tokyo Stock Exchange","USD","JPY","119.94","661,508.32"
"6367","JP3481800005","6250724","DAIKIN INDUSTRIES LTD","0.7602","Equity","Industrials","Japan","$636,449","9,500","66.99","Tokyo Stock Exchange","USD","JPY","119.94","636,448.91"
