iShares Global Financials ETF
Inception Date,"Nov 12, 2001"
Fund Holdings as of,"08-May-2015"
Total Net Assets,"$291,108,763"
Shares Outstanding,"4,900,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"PSA","US74460D1090","2852533","PUBLIC STORAGE REIT","0.3897","Equity","Financials","United States","$1,136,336","5,782","196.53","New York Stock Exchange Inc.","USD","USD","1.00","1,136,336.46"
"DFS","US2547091080","B1YLC43","DISCOVER FINANCIAL SERVICES","0.3847","Equity","Financials","United States","$1,121,898","19,012","59.01","New York Stock Exchange Inc.","USD","USD","1.00","1,121,898.12"
"G","IT0000062072","4056719","ASSICURAZIONI GENERALI","0.3844","Equity","Financials","Italy","$1,120,982","56,742","19.76","Borsa Italiana S.P.A.","USD","EUR","0.89","1,120,982.38"
"ICE","US45866F1049","BFSSDS9","INTERCONTINENTAL EXCHANGE INC","0.3843","Equity","Financials","United States","$1,120,681","4,704","238.24","New York Stock Exchange Inc.","USD","USD","1.00","1,120,680.96"
"EQR","US29476L1070","2319157","EQUITY RESIDENTIAL REIT","0.3798","Equity","Financials","United States","$1,107,482","14,798","74.84","New York Stock Exchange Inc.","USD","USD","1.00","1,107,482.32"
"16","HK0016000132","6859927","SUN HUNG KAI PROPERTIES LTD","0.3768","Equity","Financials","Hong Kong","$1,098,924","65,000","16.91","Hong Kong Exchanges And Clearing Ltd","USD","HKD","7.75","1,098,924.48"
"UL","FR0000124711","B1YY4B3","UNIBAIL-RODAMCO SE REIT","0.3767","Equity","Financials","France","$1,098,500","4,018","273.40","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.89","1,098,500.49"
"O39","SG1S04926220","B0F9V20","OVERSEA-CHINESE BANKING LTD","0.3697","Equity","Financials","Singapore","$1,078,081","137,200","7.86","Singapore Exchange","USD","SGD","1.33","1,078,081.06"
"8604","JP3762600009","6643108","NOMURA HOLDINGS INC","0.3665","Equity","Financials","Japan","$1,068,658","163,500","6.54","Tokyo Stock Exchange","USD","JPY","119.76","1,068,657.79"
"LGEN","GB0005603997","0560399","LEGAL & GENERAL GROUP PLC","0.3546","Equity","Financials","United Kingdom","$1,034,003","249,214","4.15","London Stock Exchange","USD","GBP","0.65","1,034,002.84"
"HCN","US42217K1060","2440961","HEALTH CARE REIT INC","0.3444","Equity","Financials","United States","$1,004,179","13,916","72.16","New York Stock Exchange Inc.","USD","USD","1.00","1,004,178.56"
"CB","US1712321017","2195722","CHUBB CORP","0.3361","Equity","Financials","United States","$979,996","9,758","100.43","New York Stock Exchange Inc.","USD","USD","1.00","979,995.94"
"SAMAS","FI0009003305","5226038","SAMPO OYJ","0.3318","Equity","Financials","Finland","$967,483","19,600","49.36","Nasdaq Omx Helsinki Ltd.","USD","EUR","0.89","967,483.44"
"SWED A","SE0000242455","4846523","SWEDBANK","0.3280","Equity","Financials","Sweden","$956,613","41,258","23.19","Nasdaq Omx Nordic","USD","SEK","8.24","956,612.93"
"DANSKE","DK0010274414","4588825","DANSKE BANK","0.3240","Equity","Financials","Denmark","$944,666","32,242","29.30","Omx Nordic Exchange Copenhagen A/S","USD","DKK","6.65","944,666.05"
"SHB A","SE0000193120","5703661","SVENSKA HANDELSBANKEN A","0.3232","Equity","Financials","Sweden","$942,355","20,580","45.79","Nasdaq Omx Nordic","USD","SEK","8.24","942,355.25"
"8591","JP3200450009","6661144","ORIX CORP","0.3193","Equity","Financials","Japan","$931,108","58,800","15.84","Tokyo Stock Exchange","USD","JPY","119.76","931,108.42"
"AMP","US03076C1062","B0J7D57","AMERIPRISE FINANCE INC","0.3185","Equity","Financials","United States","$928,672","7,350","126.35","New York Stock Exchange Inc.","USD","USD","1.00","928,672.50"
"VTR","US92276F1003","2927925","VENTAS REIT INC","0.3167","Equity","Financials","United States","$923,581","13,362","69.12","New York Stock Exchange Inc.","USD","USD","1.00","923,581.44"
"MQG","AU000000MQG1","B28YTC2","MACQUARIE GROUP LTD DEF","0.3133","Equity","Financials","Australia","$913,734","14,602","62.58","Asx - All Markets","USD","AUD","1.27","913,734.08"
"AVB","US0534841012","2131179","AVALONBAY COMMUNITIES REIT INC","0.3115","Equity","Financials","United States","$908,269","5,390","168.51","New York Stock Exchange Inc.","USD","USD","1.00","908,268.90"
"TROW","US74144T1088","2702337","T ROWE PRICE GROUP INC","0.3102","Equity","Financials","United States","$904,524","11,074","81.68","NASDAQ","USD","USD","1.00","904,524.32"
"STI","US8679141031","2860990","SUNTRUST BANKS INC","0.3089","Equity","Financials","United States","$900,828","21,266","42.36","New York Stock Exchange Inc.","USD","USD","1.00","900,827.76"
"U11","SG1M31001969","6916781","UNITED OVERSEAS BANK LTD","0.3053","Equity","Financials","Singapore","$890,172","49,000","18.17","Singapore Exchange","USD","SGD","1.33","890,172.19"
"8309","JP3892100003","6431897","SUMITOMO MITSUI TRUST HOLDINGS INC","0.3021","Equity","Financials","Japan","$880,851","196,270","4.49","Tokyo Stock Exchange","USD","JPY","119.76","880,851.04"
"KBC","BE0003565737","4497749","KBC GROEP","0.3013","Equity","Financials","Belgium","$878,581","13,328","65.92","Nyse Euronext - Euronext Brussels","USD","EUR","0.89","878,580.51"
"SEB A","SE0000148884","4813345","SKANDINAVISKA ENSKILDA BANKEN","0.2953","Equity","Financials","Sweden","$861,061","70,266","12.25","Nasdaq Omx Nordic","USD","SEK","8.24","861,061.15"
"SLF","CA8667961053","2566124","SUN LIFE FINANCIAL INC","0.2924","Equity","Financials","Canada","$852,593","25,284","33.72","Toronto Stock Exchange","USD","CAD","1.21","852,592.73"
"PLD","US74340W1036","B44WZD7","PROLOGIS REIT INC","0.2917","Equity","Financials","United States","$850,616","20,874","40.75","New York Stock Exchange Inc.","USD","USD","1.00","850,615.50"
"8750","JP3476480003","B601QS4","THE DAI-ICHI LIFE INSURANCE CO LTD","0.2897","Equity","Financials","Japan","$844,863","49,000","17.24","Tokyo Stock Exchange","USD","JPY","119.76","844,862.86"
"BXP","US1011211018","2019479","BOSTON PROPERTIES REIT INC","0.2868","Equity","Financials","United States","$836,246","6,272","133.33","New York Stock Exchange Inc.","USD","USD","1.00","836,245.76"
"BEN","US3546131018","2350684","FRANKLIN RESOURCES INC","0.2864","Equity","Financials","United States","$835,280","15,974","52.29","New York Stock Exchange Inc.","USD","USD","1.00","835,280.46"
"MCO","US6153691059","2252058","MOODYS CORP","0.2864","Equity","Financials","United States","$835,207","7,742","107.88","New York Stock Exchange Inc.","USD","USD","1.00","835,206.96"
"8601","JP3502200003","6251448","DAIWA SECURITIES GROUP INC","0.2736","Equity","Financials","Japan","$797,731","98,000","8.14","Tokyo Stock Exchange","USD","JPY","119.76","797,730.56"
"INVE B","SE0000107419","5679591","INVESTOR B","0.2692","Equity","Financials","Sweden","$784,936","19,306","40.66","Nasdaq Omx Nordic","USD","SEK","8.24","784,935.77"
"8830","JP3409000001","6858902","SUMITOMO REALTY & DEVELOPMENT LTD","0.2604","Equity","Financials","Japan","$759,320","20,000","37.97","Tokyo Stock Exchange","USD","JPY","119.76","759,320.34"
"HCP","US40414L1098","2417578","HCP REIT INC","0.2583","Equity","Financials","United States","$753,155","18,914","39.82","New York Stock Exchange Inc.","USD","USD","1.00","753,155.48"
"HIG","US4165151048","2476193","HARTFORD FINANCIAL SERVICES GROUP","0.2537","Equity","Financials","United States","$739,852","17,738","41.71","New York Stock Exchange Inc.","USD","USD","1.00","739,851.98"
"IVZ","BMG491BT1088","B28XP76","INVESCO LTD","0.2506","Equity","Financials","United States","$730,825","17,640","41.43","New York Stock Exchange Inc.","USD","USD","1.00","730,825.20"
"VNO","US9290421091","2933632","VORNADO REALTY TRUST REIT","0.2490","Equity","Financials","United States","$725,992","7,056","102.89","New York Stock Exchange Inc.","USD","USD","1.00","725,991.84"
"ACA","FR0000045072","7262610","CREDIT AGRICOLE SA","0.2483","Equity","Financials","France","$724,131","46,354","15.62","Nyse Euronext - Euronext Paris","USD","EUR","0.89","724,131.12"
"NTRS","US6658591044","2648668","NORTHERN TRUST CORP TRUST","0.2478","Equity","Financials","United States","$722,701","9,604","75.25","NASDAQ","USD","USD","1.00","722,701.00"
"GGP","US3700231034","B56VLR5","GENERAL GROWTH PROPERTIES REIT INC","0.2411","Equity","Financials","United States","$703,081","25,382","27.70","New York Stock Exchange Inc.","USD","USD","1.00","703,081.40"
"GFNORTEO","MXP370711014","2421041","GPO FINANCE BANORTE","0.2405","Equity","Financials","Mexico","$701,340","117,600","5.96","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","15.16","701,340.28"
"OML","GB00B77J0862","B77J086","OLD MUTUAL PLC","0.2398","Equity","Financials","United Kingdom","$699,216","193,648","3.61","London Stock Exchange","USD","GBP","0.65","699,216.14"
"DNB","NO0010031479","4263304","DNB","0.2385","Equity","Financials","Norway","$695,594","37,828","18.39","Oslo Bors Asa","USD","NOK","7.46","695,594.12"
"DB1","DE0005810055","7021963","DEUTSCHE BOERSE AG","0.2363","Equity","Financials","Germany","$688,947","8,134","84.70","Xetra","USD","EUR","0.89","688,947.16"
"WY","US9621661043","2958936","WEYERHAEUSER REIT","0.2361","Equity","Financials","United States","$688,595","21,168","32.53","New York Stock Exchange Inc.","USD","USD","1.00","688,595.04"
"FITB","US3167731005","2336747","FIFTH THIRD BANCORP","0.2343","Equity","Financials","United States","$683,300","33,810","20.21","NASDAQ","USD","USD","1.00","683,300.10"
"MTB","US55261F1049","2340168","M&T BANK CORP","0.2287","Equity","Financials","United States","$666,792","5,488","121.50","New York Stock Exchange Inc.","USD","USD","1.00","666,792.00"
"SCG","AU000000SCG8","BLZH0Z7","SCENTRE GROUP","0.2254","Equity","Financials","Australia","$657,243","220,010","2.99","Asx - All Markets","USD","AUD","1.27","657,243.35"
"8630","JP3165000005","B62G7K6","SOMPO JAPAN NIPPONKOA HOLDINGS INC","0.2253","Equity","Financials","Japan","$656,906","19,600","33.52","Tokyo Stock Exchange","USD","JPY","119.76","656,906.44"
