iShares MSCI Mexico Capped ETF
Inception Date,"Mar 12, 1996"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,357,998,439"
Shares Outstanding,"24,400,000"
Stock,"99.82"
Bond,"0.00"
Cash,"0.00"
Other,"0.18"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"CHDRAUIB","GRUPO COMERCIAL CHEDRAUI","MX01CH170002","B457NQ0","0.7344","Consumer Staples","Equity","Mexico","$9,996,821","3,608,200","2.77","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"VESTA*","CORPORACION INMOBILIARIA VESTA","MX01VE0M0003","B8F6ZF8","0.7078","Financials","Equity","Mexico","$9,635,527","5,695,049","1.69","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"BACHOCOB","INDUSTRIAS BACHOCO B","MX01BA1D0003","B1FJ6T9","0.6861","-","Equity","Mexico","$9,339,823","1,959,400","4.77","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"BOLSAA","BOLSA MEXICANA DE VALORES","MX01BM1B0000","B39VVF6","0.6295","Financials","Equity","Mexico","$8,569,608","4,837,987","1.77","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"HERDEZ*","GRUPO HERDEZ","MX01HE010008","2962959","0.6101","Consumer Staples","Equity","Mexico","$8,305,241","3,097,344","2.68","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"ICHB","INDUSTRIAS CH","MXP524131127","2454810","0.5121","Materials","Equity","Mexico","$6,971,538","1,913,783","3.64","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"FIHO12","FIBRA HOTEL REIT SA","MXCFFI0T0005","B8HLNQ8","0.4322","Financials","Equity","Mexico","$5,883,683","5,613,500","1.05","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"Q*","QUALITAS CONTROLADORA ORD","MX01Q0000008","BYMXF65","0.4025","Financials","Equity","Mexico","$5,479,404","3,257,400","1.68","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"ARA*","CONSORCIO ARA","MXP001161019","B1TV969","0.3972","Consumer Discretionary","Equity","Mexico","$5,406,452","13,152,219","0.41","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"MFRISCOA.1","MINERA FRISCO","MX01MF010000","B3QHKH2","0.3517","Materials","Equity","Mexico","$4,787,389","8,320,503","0.58","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GFAMSAA","GRUPO FAMSA A","MX01GF010008","B15F749","0.3390","Consumer Discretionary","Equity","Mexico","$4,614,494","6,490,421","0.71","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"AZTECACPO","TV AZTECA","MX01AZ060013","2096911","0.2565","Consumer Discretionary","Equity","Mexico","$3,492,021","18,149,639","0.19","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
"GEOB","CORPORACION GEO B","MXP3142C1177","2229342","0.0000","Consumer Discretionary","Equity","Mexico","$10","15,588,128","0.00","Bolsa Mexicana De Valores (Mexican Stock Exchange)","USD","MXN","16.37","-"
 
