iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$2,923,457,080"
Shares Outstanding,"65,100,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"ENI","ENI","IT0003132476","7145056","0.5615","Energy","Equity","Italy","$16,469,390","938,459","17.55","Borsa Italiana S.P.A.","USD","EUR","0.92","16,469,390.03"
"DBK","DEUTSCHE BANK AG","DE0005140008","5750355","0.5591","Financials","Equity","Germany","$16,399,366","480,550","34.13","Xetra","USD","EUR","0.92","16,399,366.19"
"ZURN","ZURICH INSURANCE GROUP AG","CH0011075394","5983816","0.5460","Financials","Equity","Switzerland","$16,013,443","52,738","303.64","Six Swiss Exchange Ag","USD","CHF","0.98","16,013,443.14"
"AI","AIR LIQUIDE SA","FR0000120073","B1YXBJ7","0.5421","Materials","Equity","France","$15,899,518","119,981","132.52","Nyse Euronext - Euronext Paris","USD","EUR","0.92","15,899,518.28"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","CH0210483332","BCRWZ18","0.5296","Consumer Discretionary","Equity","Switzerland","$15,532,308","181,318","85.66","Six Swiss Exchange Ag","USD","CHF","0.98","15,532,308.43"
"AIR","AIRBUS GROUP","NL0000235190","4012250","0.5279","Industrials","Equity","France","$15,483,883","213,535","72.51","Nyse Euronext - Euronext Paris","USD","EUR","0.92","15,483,882.91"
"ABBN","ABB LTD","CH0012221716","7108899","0.5200","Industrials","Equity","Switzerland","$15,252,332","744,974","20.47","Six Swiss Exchange Ag","USD","CHF","0.98","15,252,332.47"
"ASML","ASML HOLDING NV","NL0010273215","B929F46","0.5132","Information Technology","Equity","Netherlands","$15,054,225","152,039","99.02","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.92","15,054,224.90"
"CSGN","CREDIT SUISSE GROUP AG","CH0012138530","7171589","0.5052","Financials","Equity","Switzerland","$14,817,161","507,032","29.22","Six Swiss Exchange Ag","USD","CHF","0.98","14,817,161.27"
"GLE","SOCIETE GENERALE","FR0000130809","5966516","0.5010","Financials","Equity","France","$14,695,820","280,755","52.34","Nyse Euronext - Euronext Paris","USD","EUR","0.92","14,695,820.21"
"SU","SCHNEIDER ELECTRIC SE","FR0000121972","4834108","0.4855","Industrials","Equity","France","$14,239,276","202,407","70.35","Nyse Euronext - Euronext Paris","USD","EUR","0.92","14,239,275.98"
"BN","DANONE SA","FR0000120644","B1Y9TB3","0.4853","Consumer Staples","Equity","France","$14,235,338","207,413","68.63","Nyse Euronext - Euronext Paris","USD","EUR","0.92","14,235,337.85"
"SYNN","SYNGENTA AG","CH0011037469","4356646","0.4760","Materials","Equity","Switzerland","$13,960,797","33,413","417.83","Six Swiss Exchange Ag","USD","CHF","0.98","13,960,797.15"
"BLT","BHP BILLITON PLC","GB0000566504","0056650","0.4699","Materials","Equity","United Kingdom","$13,783,213","735,646","18.74","London Stock Exchange","USD","GBP","0.64","13,783,213.16"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","ES0148396007","BP9DL90","0.4668","Consumer Discretionary","Equity","Spain","$13,692,073","391,921","34.94","Bolsa De Madrid","USD","EUR","0.92","13,692,072.69"
"NDA SEK","NORDEA BANK","SE0000427361","5380031","0.4645","Financials","Equity","Sweden","$13,624,896","1,112,390","12.25","Nasdaq Omx Nordic","USD","SEK","8.74","13,624,896.12"
"UCG","UNICREDIT","IT0004781412","B5M1SM3","0.4594","Financials","Equity","Italy","$13,476,362","1,948,429","6.92","Borsa Italiana S.P.A.","USD","EUR","0.92","13,476,362.27"
"IBE","IBERDROLA SA","ES0144580Y14","B288C92","0.4559","Utilities","Equity","Spain","$13,371,154","1,903,315","7.03","Bolsa De Madrid","USD","EUR","0.92","13,371,153.79"
"ORA","ORANGE SA","FR0000133308","5176177","0.4527","Telecommunications","Equity","France","$13,278,973","800,793","16.58","Nyse Euronext - Euronext Paris","USD","EUR","0.92","13,278,972.95"
"HM B","HENNES & MAURITZ","SE0000106270","5687431","0.4473","Consumer Discretionary","Equity","Sweden","$13,121,106","327,780","40.03","Nasdaq Omx Nordic","USD","SEK","8.74","13,121,105.55"
"LIN","LINDE AG","DE0006483001","5740817","0.4316","Materials","Equity","Germany","$12,660,308","65,307","193.86","Xetra","USD","EUR","0.92","12,660,307.92"
"GLEN","GLENCORE PLC","JE00B4T3BW64","B4T3BW6","0.4167","Materials","Equity","United Kingdom","$12,221,763","3,851,918","3.17","London Stock Exchange","USD","GBP","0.64","12,221,762.56"
"VIV","VIVENDI SA","FR0000127771","4834777","0.4035","Consumer Discretionary","Equity","France","$11,836,042","445,490","26.57","Nyse Euronext - Euronext Paris","USD","EUR","0.92","11,836,042.27"
"AV.","AVIVA PLC","GB0002162385","0216238","0.3940","Financials","Equity","United Kingdom","$11,557,943","1,403,908","8.23","London Stock Exchange","USD","GBP","0.64","11,557,942.86"
