iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$2,970,539,105"
Shares Outstanding,"63,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"UCG","IT0004781412","B5M1SM3","UNICREDIT","0.4659","Equity","Financials","Italy","$13,900,040","1,910,303","7.28","Borsa Italiana S.P.A.","USD","EUR","0.90","13,900,040.40"
"GLE","FR0000130809","5966516","SOCIETE GENERALE","0.4624","Equity","Financials","France","$13,795,590","280,237","49.23","Nyse Euronext - Euronext Paris","USD","EUR","0.90","13,795,590.20"
"VOW3","DE0007664039","5497168","VOLKSWAGEN AG (PFD NON-VTG)","0.4595","Equity","Consumer Discretionary","Germany","$13,711,401","54,094","253.47","Xetra","USD","EUR","0.90","13,711,400.65"
"BMW","DE0005190003","5756029","BAYERISCHE MOTORENWERKE AG BMW","0.4485","Equity","Consumer Discretionary","Germany","$13,381,974","109,791","121.89","Xetra","USD","EUR","0.90","13,381,974.30"
"HM B","SE0000106270","5687431","HENNES & MAURITZ","0.4395","Equity","Consumer Discretionary","Sweden","$13,112,982","325,892","40.24","Nasdaq Omx Nordic","USD","SEK","8.29","13,112,981.72"
"CSGN","CH0012138530","7171589","CREDIT SUISSE GROUP AG","0.4339","Equity","Financials","Switzerland","$12,947,152","490,788","26.38","Six Swiss Exchange Ag","USD","CHF","0.93","12,947,151.97"
"ORA","FR0000133308","5176177","ORANGE SA","0.4315","Equity","Telecommunications","France","$12,874,611","796,769","16.16","Nyse Euronext - Euronext Paris","USD","EUR","0.90","12,874,610.61"
"LIN","DE0006483001","5740817","LINDE AG","0.4262","Equity","Materials","Germany","$12,717,796","63,909","199.00","Xetra","USD","EUR","0.90","12,717,796.25"
"IBE","ES0144580Y14","B288C92","IBERDROLA SA","0.4237","Equity","Utilities","Spain","$12,640,951","1,853,745","6.82","Bolsa De Madrid","USD","EUR","0.90","12,640,950.85"
"ITX","ES0148396007","BP9DL90","INDUSTRIA DE DISENO TEXTIL INDITEX","0.4187","Equity","Consumer Discretionary","Spain","$12,491,672","387,337","32.25","Bolsa De Madrid","USD","EUR","0.90","12,491,671.70"
