iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,204,139,587"
Shares Outstanding,"31,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"SCTY","SOLARCITY CORP","US83416T1007","B8BZJC4","0.2156","Industrials","Equity","$2,550,546","42,389","60.17","NASDAQ","2,550,546.13"
"INT","WORLD FUEL SERVICES CORP.","US9814751064","2469450","0.2044","Energy","Equity","$2,418,487","59,760","40.47","New York Stock Exchange Inc.","2,418,487.20"
"NE","NOBLE CORP PLC","GB00BFG3KF26","BFG3KF2","0.1982","Energy","Equity","$2,345,138","200,268","11.71","New York Stock Exchange Inc.","2,345,138.28"
"CLR","CONTINENTAL RESOURCES INC","US2120151012","B1XGWS3","0.1921","Energy","Equity","$2,272,198","70,984","32.01","New York Stock Exchange Inc.","2,272,197.84"
"PBF","PBF ENERGY INC CLASS A","US69318G1067","B7F4TJ7","0.1881","Energy","Equity","$2,225,673","71,017","31.34","New York Stock Exchange Inc.","2,225,672.78"
"SEMG","SEMGROUP CORP. CL A","US81663A1051","B547XN5","0.1867","Energy","Equity","$2,208,379","36,328","60.79","New York Stock Exchange Inc.","2,208,379.12"
"SPN","SUPERIOR ENERGY SERVICES INC.","US8681571084","2806109","0.1760","Energy","Equity","$2,082,610","124,558","16.72","New York Stock Exchange Inc.","2,082,609.76"
"PTEN","PATTERSON UTI ENERGY INC","US7034811015","2672537","0.1730","Energy","Equity","$2,046,012","122,296","16.73","NASDAQ","2,046,012.08"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","US0669224778","-","0.1706","Cash and/or Derivatives","Money Market","$2,017,868","2,017,868","1.00","-","2,017,868.35"
"CIE","COBALT INTERNATIONAL ENERGY INC","US19075F1066","B4XH005","0.1668","Energy","Equity","$1,973,760","246,412","8.01","New York Stock Exchange Inc.","1,973,760.12"
